CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
614,France,Male,50,4,137104.47,1,1,0,127166.49,1
559,France,Male,49,2,147069.78,1,1,0,120540.83,1
749,France,Male,40,1,139290.41,1,1,0,182855.42,1
644,France,Female,46,9,95441.27,1,1,0,108761.05,1
584,Germany,Female,30,8,112013.81,1,1,0,177772.03,1
485,France,Male,29,7,182123.79,1,1,0,116828.51,1
805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1
716,Germany,Female,39,10,115301.31,1,1,0,43527.4,1
642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1
522,Spain,Male,34,9,126436.29,1,1,0,174248.52,1
643,Germany,Female,45,2,150842.93,1,0,1,2319.96,1
745,Germany,Male,45,10,117231.63,3,1,1,122381.02,1
687,Spain,Female,39,2,0.0,3,0,0,188150.6,1
648,Spain,Male,46,9,127209.0,2,1,0,77405.95,1
556,Spain,Male,38,8,0.0,2,0,0,417.41,1
616,France,Female,66,1,135842.41,1,1,0,183840.51,1
538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1
693,Germany,Female,41,9,181461.48,3,1,1,187929.43,1
487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1
756,Germany,Female,60,3,115924.89,1,1,0,93524.19,1
535,Germany,Male,40,7,111756.5,1,1,0,8128.32,1
568,Germany,Male,40,1,99282.63,1,0,0,134600.94,1
619,Germany,Male,57,3,137946.39,1,1,1,72467.99,1
545,Germany,Female,37,8,114754.08,1,1,0,136050.44,1
553,Spain,Male,47,3,116528.15,1,0,0,145704.19,1
675,France,Female,38,6,68065.8,1,0,0,138777.0,1
514,Germany,Male,43,1,95556.31,1,0,1,199273.98,1
662,France,Female,32,4,133950.37,1,1,1,48725.68,1
816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1
703,France,Male,37,1,149762.08,1,1,0,20629.4,1
621,Germany,Male,46,6,141078.37,1,0,0,34580.8,1
615,Spain,Male,61,9,0.0,2,1,0,150227.85,1
542,France,Male,39,3,135096.77,1,1,1,14353.43,1
531,France,Female,47,6,0.0,1,0,0,194998.34,1
673,France,Female,38,2,170061.92,2,0,0,134901.34,1
570,France,Female,58,8,0.0,1,0,1,116503.92,1
774,France,Male,60,5,85891.55,1,1,0,74135.48,1
605,France,Female,51,3,136188.78,1,1,1,67110.59,1
468,France,Female,56,10,0.0,3,0,1,62256.87,1
698,France,Male,48,4,101238.24,2,0,1,177815.87,1
850,France,Female,35,1,211774.31,1,1,0,188574.12,1
572,Germany,Female,48,3,152827.99,1,1,0,38411.79,1
608,France,Male,59,1,0.0,1,1,0,70649.64,1
564,Germany,Female,62,5,114931.35,3,0,1,18260.98,1
745,Germany,Female,28,1,111071.36,1,1,0,73275.96,1
721,Spain,Male,51,0,169312.13,1,1,0,109078.35,1
504,France,Female,49,7,0.0,3,0,1,87822.14,1
674,Germany,Male,47,6,106901.94,1,1,1,2079.2,1
590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1
598,Germany,Male,41,3,91536.93,1,1,0,191468.78,1
509,France,Female,46,1,0.0,1,1,0,71244.59,1
438,Spain,Female,54,2,0.0,1,0,0,191763.07,1
651,France,Male,45,1,0.0,1,1,0,67740.08,1
648,Spain,Female,49,10,0.0,2,1,1,159835.78,1
607,Spain,Female,33,2,108431.87,2,0,1,109291.39,1
647,Germany,Female,51,1,119741.77,2,0,0,54954.51,1
760,France,Female,51,2,100946.71,1,0,0,179614.8,1
621,Spain,Male,53,9,170491.84,1,1,0,35588.07,1
519,Spain,Female,47,6,157296.02,2,0,0,147278.43,1
713,Germany,Female,38,7,144606.22,1,1,1,56594.36,1
683,Germany,Female,57,5,162448.69,1,0,0,9221.78,1
601,France,Female,43,8,0.0,3,0,1,110916.15,1
566,France,Male,30,5,0.0,1,1,0,54926.51,1
727,Spain,Female,31,0,0.0,1,1,0,121751.04,1
612,Germany,Female,62,8,140745.33,1,1,0,193437.89,1
589,France,Female,61,1,0.0,1,1,0,61108.56,1
583,Germany,Female,54,6,115988.86,1,1,0,57553.98,1
850,France,Male,31,6,67996.23,2,0,0,50129.87,1
752,Spain,Male,48,5,116060.08,1,1,0,156618.38,1
660,Germany,Female,39,5,135134.99,1,1,0,173683.0,1
819,France,Female,39,9,133102.92,1,1,0,27046.46,1
673,France,Female,34,8,42157.08,1,1,0,20598.59,1
459,Germany,Male,48,4,133994.52,1,1,1,19287.06,1
739,Germany,Male,45,7,102703.62,1,0,1,147802.94,1
661,Spain,Male,42,2,178820.91,1,0,0,29358.57,1
769,Germany,Female,45,5,126674.81,1,1,0,124118.71,1
625,France,Female,51,7,136294.97,1,1,0,38867.46,1
445,Spain,Male,62,1,64119.38,1,1,1,76569.64,1
543,Germany,Female,57,1,106138.33,2,1,1,120657.32,1
750,Germany,Male,40,5,168286.81,3,1,0,20451.99,1
650,Spain,Female,25,3,86605.5,3,1,0,16649.31,1
672,Spain,Female,56,2,209767.31,2,1,1,150694.42,1
459,Spain,Female,42,6,129634.25,2,1,1,177683.02,1
499,France,Female,57,1,0.0,1,0,0,131372.38,1
738,Germany,Male,43,9,121152.05,2,1,0,64166.7,1
545,Germany,Female,60,7,128981.07,1,0,1,176924.21,1
611,France,Female,49,2,88915.37,3,0,0,161435.02,1
693,France,Female,35,5,124151.09,1,1,0,88705.14,1
663,Germany,Female,36,6,77253.5,1,0,0,35817.97,1
710,Germany,Male,43,2,140080.32,3,1,1,157908.19,1
720,Germany,Male,60,9,115920.62,2,0,0,157552.08,1
531,France,Female,63,1,114715.71,1,0,1,24506.95,1
742,Germany,Female,36,2,129748.54,2,0,0,47271.61,1
636,Germany,Male,49,6,113599.74,2,1,0,158887.09,1
622,Germany,Female,58,7,116922.25,1,1,0,120415.61,1
692,Spain,Male,28,9,118945.09,1,0,0,16064.25,1
747,Germany,Male,58,7,116313.57,1,1,1,190696.35,1
790,Spain,Female,46,9,0.0,1,0,0,14679.81,1
421,Germany,Male,28,8,122384.22,3,1,1,89017.38,1
580,Germany,Female,42,2,123331.36,1,0,0,103516.08,1
732,Spain,Female,69,9,137453.43,1,0,1,110932.24,1
553,Spain,Female,48,3,0.0,1,0,1,30730.95,1
732,Germany,Male,50,6,145338.76,1,0,0,91936.1,1
773,Spain,Female,41,5,0.0,1,1,0,28266.9,1
667,Germany,Female,48,1,97133.92,2,0,0,113316.77,1
567,Germany,Female,49,5,134956.02,1,1,0,93953.84,1
598,France,Male,64,1,0.0,2,1,0,195635.3,1
667,France,Male,43,8,190227.46,1,1,0,97508.04,1
548,France,Female,32,2,172448.77,1,1,0,188083.77,1
636,France,Female,48,1,170833.46,1,1,0,110510.28,1
603,Germany,Male,44,6,108122.39,2,1,0,108488.33,1
629,Germany,Female,45,7,129818.39,3,1,0,9217.55,1
749,France,Female,60,6,0.0,1,1,0,17978.68,1
679,France,Female,43,4,0.0,3,1,0,115136.51,1
643,France,Female,45,4,45144.43,1,1,0,60917.24,1
703,France,Female,51,3,0.0,3,1,1,77294.56,1
728,Germany,Female,35,8,125884.95,2,1,0,54359.02,1
523,France,Female,40,2,102967.41,1,1,0,128702.1,1
727,Germany,Male,40,1,93051.64,2,1,0,71865.31,1
599,France,Male,58,4,0.0,1,0,0,176407.15,1
672,France,Female,45,9,0.0,1,1,1,92027.69,1
516,France,Female,46,1,104947.72,1,1,0,115789.25,1
475,France,Male,39,6,0.0,1,1,1,56999.9,1
609,Spain,Male,61,1,0.0,1,1,0,22447.85,1
555,France,Male,51,5,0.0,3,1,0,189122.89,1
512,Spain,Male,36,1,0.0,1,0,1,135482.26,1
775,France,Male,52,8,109922.61,1,1,1,96823.32,1
376,France,Female,46,6,0.0,1,1,0,157333.69,1
599,Spain,Female,39,4,0.0,1,1,0,194273.2,1
715,France,Female,38,5,118590.41,1,1,1,5684.17,1
684,France,Female,48,3,73309.38,1,0,0,21228.34,1
665,Spain,Female,42,2,156371.61,2,0,1,156774.94,1
529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1
683,Germany,Female,43,4,115888.04,1,1,1,117349.19,1
586,France,Female,43,8,132558.26,1,1,0,67046.83,1
614,Germany,Female,35,6,128100.28,1,0,0,69454.24,1
569,Spain,Male,34,0,151839.26,1,1,0,102299.81,1
722,France,Female,49,3,168197.66,1,1,0,140765.57,1
646,France,Female,42,3,175159.9,2,0,0,67124.48,1
521,Germany,Male,52,5,116497.31,3,0,0,53793.1,1
444,France,Male,45,6,0.0,1,1,0,130009.85,1
724,France,Male,40,10,0.0,1,1,0,127847.25,1
676,France,Female,37,5,89634.69,1,1,1,169583.18,1
850,Germany,Female,45,5,103909.86,1,1,0,60083.11,1
625,France,Male,49,6,173434.9,1,1,0,165580.93,1
630,Spain,Female,39,7,135483.17,1,1,0,140881.2,1
807,Spain,Female,42,1,0.0,1,1,0,16500.66,1
726,France,Female,48,4,0.0,1,1,0,114020.06,1
631,Germany,Male,40,3,107949.45,1,1,0,52449.62,1
581,France,Female,47,1,122949.14,1,0,0,180251.68,1
613,Germany,Male,38,9,67111.65,1,1,0,78566.64,1
512,France,Male,36,4,152169.12,2,0,0,38629.3,1
731,France,Female,52,10,0.0,1,1,1,24998.75,1
594,France,Male,57,6,0.0,1,1,0,19376.56,1
844,France,Male,40,7,113348.14,1,1,0,31904.31,1
686,Germany,Female,47,5,170935.94,1,1,0,173179.79,1
688,Spain,Male,36,0,89772.3,1,1,0,177383.68,1
803,France,Male,42,5,0.0,1,1,0,196466.83,1
712,France,Male,36,2,100749.5,3,0,0,70758.37,1
715,France,Male,41,4,94267.9,1,0,1,152821.12,1
692,France,Male,29,4,0.0,1,1,0,76755.99,1
756,Germany,Female,39,3,100717.85,3,1,1,73406.04,1
420,Germany,Female,34,1,135549.9,1,0,0,149471.13,1
713,France,Female,52,0,185891.54,1,1,1,46369.57,1
833,Germany,Male,59,1,130854.59,1,1,1,30722.52,1
731,Germany,Female,21,8,132312.06,1,1,0,106663.46,1
608,France,Female,62,8,144976.5,1,0,0,175836.03,1
731,France,Female,47,1,115414.19,3,0,0,191734.67,1
698,Germany,Male,56,1,112414.81,2,0,0,93982.02,1
779,Germany,Male,33,1,158456.76,1,1,1,197000.92,1
606,Spain,Male,35,7,0.0,1,1,0,106837.06,1
669,France,Female,35,7,0.0,1,1,1,49108.23,1
618,France,Female,37,5,96652.86,1,1,0,98686.4,1
765,Germany,Male,43,4,148962.76,1,0,1,173878.87,1
755,Germany,Female,45,7,135643.0,1,0,0,143619.52,1
434,Germany,Female,58,9,125801.03,2,1,0,60891.8,1
513,France,Male,35,8,0.0,1,1,0,76640.29,1
755,France,Male,41,6,104817.41,1,1,0,126013.58,1
693,Germany,Male,40,0,120711.73,1,0,0,27345.18,1
705,Spain,Female,40,5,203715.15,1,1,0,179978.68,1
552,France,Male,49,4,0.0,1,1,1,190296.76,1
673,France,Female,43,5,168069.73,1,1,1,146992.24,1
765,France,Female,50,9,126547.8,1,1,1,79579.94,1
701,France,Male,40,5,169742.64,1,1,1,153537.55,1
785,Spain,Female,61,4,129855.72,2,1,0,170214.82,1
363,Spain,Female,28,6,146098.43,3,1,0,100615.14,1
399,Germany,Male,46,2,127655.22,1,1,0,139994.68,1
711,France,Male,51,7,0.0,3,1,0,38409.79,1
610,Spain,Male,42,6,0.0,2,1,0,158302.59,1
579,Spain,Male,33,6,0.0,1,1,0,94993.04,1
745,Spain,Female,54,8,0.0,1,1,0,173912.29,1
706,France,Female,23,5,0.0,1,0,0,164128.41,1
693,Germany,Male,44,5,124601.58,2,1,1,46998.13,1
587,Germany,Male,46,9,107850.82,1,1,0,139431.0,1
626,France,Female,44,10,81553.93,1,1,0,20063.63,1
588,Germany,Female,40,10,125534.51,1,1,0,121504.18,1
628,France,Female,46,1,46870.43,4,1,0,31272.14,1
704,Germany,Male,27,5,147004.34,1,1,0,64381.33,1
534,France,Female,55,8,116973.26,3,1,0,122066.5,1
474,France,Male,33,5,0.0,2,1,0,181945.52,1
635,Germany,Male,37,5,113488.68,1,1,0,95611.74,1
790,Spain,Male,46,8,182364.53,1,0,0,139266.48,1
672,Germany,Male,40,10,102980.44,1,1,0,1285.81,1
593,Germany,Female,32,9,134096.53,2,1,0,53931.05,1
811,Germany,Male,52,10,76915.4,1,0,0,146359.81,1
823,Spain,Female,46,3,81576.75,1,1,1,28370.95,1
542,France,Male,38,8,65942.26,1,1,1,68093.23,1
675,France,Male,54,2,0.0,1,1,0,149583.67,1
789,France,Male,37,3,0.0,1,1,0,121883.87,1
598,France,Female,43,5,0.0,3,1,1,100722.72,1
635,Spain,Male,50,7,159453.64,2,0,0,54560.79,1
593,Germany,Female,62,3,118233.81,1,0,1,24765.53,1
743,France,Female,40,6,0.0,1,1,0,28280.8,1
568,Spain,Female,43,9,0.0,1,1,0,125870.79,1
727,Spain,Male,43,2,97403.18,1,1,1,107415.02,1
794,France,Female,41,7,176845.41,3,1,0,166526.26,1
460,Germany,Female,40,6,119507.58,2,1,0,91560.63,1
648,France,Female,54,9,120633.42,1,0,0,5924.38,1
535,Germany,Male,48,5,134542.73,1,1,1,58203.67,1
611,Spain,Male,52,7,0.0,1,0,1,73585.18,1
625,France,Male,43,8,201696.07,1,1,0,133020.9,1
608,Germany,Male,44,7,114203.47,1,1,1,77830.36,1
652,Germany,Male,50,8,125437.64,1,1,1,17160.94,1
528,Germany,Female,46,9,135555.66,1,1,0,133146.03,1
457,France,Male,41,8,73700.12,3,1,1,185750.02,1
846,France,Female,41,5,0.0,3,1,0,3440.47,1
582,Spain,Female,46,8,67563.31,1,1,0,44506.09,1
630,France,Female,40,0,118633.08,1,0,1,60032.46,1
627,France,Female,55,2,159441.27,1,1,0,100686.11,1
775,Germany,Female,38,4,125212.65,2,1,1,15795.88,1
636,Spain,Female,33,0,0.0,1,1,0,92277.47,1
487,Germany,Female,46,4,135070.58,2,1,1,44244.49,1
693,France,Female,38,3,0.0,2,0,0,78133.48,1
662,Spain,Female,41,4,90350.77,1,1,0,75884.65,1
359,France,Female,44,6,128747.69,1,1,0,146955.71,1
523,France,Female,73,7,0.0,2,0,0,130883.9,1
603,Spain,Female,42,8,91611.12,1,0,0,144675.3,1
792,Germany,Female,59,9,101609.77,1,0,0,161479.19,1
504,Germany,Male,56,9,104217.3,1,0,0,55857.48,1
558,Germany,Male,39,10,144757.02,1,1,0,22878.16,1
556,France,Female,43,6,0.0,3,0,0,125154.57,1
697,Spain,Male,56,5,110802.03,1,1,1,50230.31,1
555,Germany,Female,46,4,120392.99,1,1,0,177719.88,1
632,Spain,Male,31,3,136556.44,1,1,0,82152.83,1
687,France,Female,35,3,99587.43,1,1,1,1713.1,1
521,Spain,Female,34,7,70731.07,1,1,1,20243.97,1
817,France,Female,55,10,117561.49,1,1,0,95941.55,1
616,Germany,Female,41,1,103560.57,1,1,0,236.45,1
691,France,Male,52,3,0.0,1,1,0,175843.68,1
819,Germany,Female,49,1,120656.86,4,0,0,166164.3,1
649,France,Female,45,5,92786.66,1,1,0,173365.9,1
475,France,Female,46,10,0.0,2,0,0,122953.0,1
710,Spain,Female,51,4,93656.95,1,0,1,141400.51,1
596,Spain,Male,30,6,121345.88,4,1,0,41921.75,1
504,Germany,Female,43,7,102365.49,1,1,0,194690.77,1
735,Spain,Male,50,9,0.0,1,0,0,166677.35,1
630,France,Male,50,1,81947.76,1,0,1,63606.22,1
710,France,Male,47,5,158623.14,1,0,0,83499.89,1
606,Germany,Male,48,4,132403.56,1,0,0,36091.91,1
544,France,Female,64,3,124043.8,1,1,1,111402.97,1
723,Germany,Male,52,5,131694.97,1,0,1,92873.5,1
573,Germany,Female,47,4,152522.47,1,0,1,164038.07,1
652,France,Male,48,4,59486.31,1,1,0,163944.18,1
658,France,Female,40,7,140596.95,1,0,1,135459.02,1
515,Germany,Male,37,2,90432.92,1,1,1,188366.04,1
694,Germany,Male,31,6,109052.59,2,1,1,19448.93,1
713,France,Male,53,6,115029.4,1,0,0,191521.32,1
651,Germany,Female,42,1,116646.76,1,1,0,44731.8,1
717,Spain,Female,49,1,110864.38,2,1,1,124532.9,1
716,France,Female,44,3,109528.28,1,1,0,27341.63,1
709,France,Female,43,8,0.0,2,0,0,168035.62,1
601,Germany,Female,48,8,120782.7,1,1,0,63940.68,1
571,France,Female,42,4,108825.34,3,1,0,55558.51,1
760,Germany,Female,49,9,91502.99,1,1,0,117232.9,1
665,France,Male,52,3,0.0,1,1,0,116137.01,1
689,Spain,Male,38,5,75075.14,1,1,1,8651.92,1
617,France,Female,28,0,0.0,2,1,1,7597.83,1
736,Germany,Male,46,5,130812.91,1,1,1,77981.54,1
657,Germany,Male,57,8,107174.58,1,1,1,126369.55,1
350,Spain,Male,54,1,152677.48,1,1,1,191973.49,1
570,Germany,Female,50,5,129293.74,1,1,0,177805.44,1
634,Spain,Male,31,9,108632.48,1,1,1,179485.96,1
500,France,Male,56,1,100374.58,1,1,0,118490.8,1
704,Germany,Female,54,6,133656.91,3,1,0,145071.33,1
700,Germany,Female,40,4,148571.07,1,1,0,189826.96,1
611,France,Female,46,5,0.0,1,1,0,77677.14,1
559,Spain,Male,24,3,114739.92,1,1,0,85891.02,1
680,Germany,Female,42,7,105722.69,1,1,1,90558.24,1
812,Spain,Female,44,8,0.0,3,1,0,66926.83,1
613,Germany,Female,20,0,117356.19,1,0,0,113557.7,1
595,Spain,Male,35,8,0.0,1,1,0,100015.79,1
792,France,Male,50,9,0.0,4,1,1,194700.81,1
707,Spain,Female,35,3,56674.48,1,1,0,17987.4,1
584,Germany,Female,54,1,77354.37,1,0,0,138192.98,1
584,Spain,Female,59,1,0.0,1,0,1,130260.11,1
674,Germany,Male,34,2,152797.9,1,1,0,175709.4,1
552,France,Male,42,9,133701.07,2,1,0,101069.71,1
533,Spain,Female,52,7,0.0,1,0,1,194113.99,1
523,Germany,Female,39,1,143903.11,1,1,1,118711.75,1
521,France,Male,38,5,110641.18,1,0,1,136507.69,1
662,France,Female,36,4,166909.2,2,1,0,138871.12,1
725,Spain,Female,36,4,118520.26,1,0,0,131173.9,1
554,France,Female,35,6,117707.18,2,0,0,95277.15,1
711,Spain,Male,37,2,0.0,2,1,0,83978.86,1
669,France,Male,25,1,157848.53,1,0,0,37543.93,1
647,Germany,Male,44,4,93960.35,1,1,0,36579.53,1
714,France,Female,51,4,88308.87,3,0,0,5862.53,1
818,France,Female,49,2,0.0,1,0,1,192298.84,1
788,Germany,Female,57,8,93716.72,1,1,1,180150.49,1
770,Germany,Male,45,4,110765.68,1,1,0,26163.74,1
425,Spain,Female,22,7,169649.73,2,0,1,136365.0,1
725,Germany,Male,45,8,116917.07,1,0,0,173464.43,1
663,Germany,Male,32,8,130627.66,1,1,0,47161.25,1
561,France,Male,56,7,152759.0,2,1,0,133167.11,1
350,Germany,Male,39,0,109733.2,2,0,0,123602.11,1
737,France,Male,36,9,0.0,1,0,1,188670.9,1
590,Spain,Female,37,0,64345.21,1,0,1,61759.33,1
740,Germany,Female,36,4,109044.6,1,0,0,94554.74,1
785,France,Female,47,9,122031.55,1,1,1,33823.5,1
527,Spain,Female,29,2,27755.97,1,1,0,97468.44,1
481,France,Male,44,9,175303.06,1,1,0,65500.53,1
640,Germany,Male,39,9,131607.28,4,0,1,6981.43,1
770,Spain,Male,55,9,63127.41,2,1,0,185211.28,1
850,Germany,Female,45,5,127258.79,1,1,1,192744.23,1
687,Germany,Female,29,4,78939.15,1,1,0,122134.56,1
543,Germany,Male,48,1,100900.5,1,0,0,33310.72,1
428,Germany,Female,40,3,129248.11,2,1,0,72876.43,1
618,France,Male,56,7,0.0,1,1,1,142400.27,1
658,France,Female,35,5,126397.66,1,0,0,156361.58,1
625,France,Male,36,9,108546.16,3,1,0,133807.77,1
717,France,Male,36,2,148061.89,1,1,0,179128.69,1
484,Germany,Male,54,3,134388.11,1,0,0,49954.79,1
573,France,Female,26,4,129109.02,1,0,0,149814.68,1
531,Germany,Female,31,7,117052.82,1,1,0,118508.09,1
734,France,Male,22,5,130056.23,1,0,0,121894.31,1
680,France,Female,37,10,123806.28,1,1,0,81776.84,1
604,France,Male,53,8,144453.75,1,1,0,190998.96,1
565,Germany,Female,58,3,108888.24,3,0,1,135875.51,1
565,France,Male,55,4,118803.35,2,1,1,128124.7,1
710,France,Male,54,6,171137.62,1,1,1,167023.95,1
358,Spain,Female,52,8,143542.36,3,1,0,141959.11,1
800,France,Female,40,5,97764.41,1,1,0,98640.15,1
612,France,Female,33,9,0.0,1,0,0,142797.5,1
717,Spain,Male,35,1,0.0,3,0,0,174770.14,1
719,Spain,Female,47,9,116393.59,1,1,0,63051.32,1
738,France,Male,54,4,0.0,1,0,1,55725.04,1
563,Spain,Female,46,8,106171.68,1,1,0,163145.5,1
824,Germany,Male,60,8,134250.17,3,0,0,153046.16,1
705,France,Female,49,7,0.0,1,1,0,63405.2,1
534,France,Male,62,2,0.0,2,0,0,42763.12,1
785,Germany,Female,32,3,124493.03,2,0,1,52583.79,1
705,Germany,Female,43,10,146547.78,1,0,1,10072.55,1
729,Germany,Male,46,5,117837.43,1,1,0,104016.61,1
545,Spain,Female,39,6,0.0,1,0,0,38410.74,1
655,France,Female,59,7,0.0,1,1,0,88958.49,1
667,Germany,Female,37,5,92171.35,3,1,0,178106.34,1
668,Spain,Female,24,7,173962.32,1,0,0,106457.11,1
621,France,Male,47,0,0.0,1,1,1,133831.37,1
720,France,Female,45,1,102882.4,2,1,1,35633.15,1
492,France,Female,49,8,0.0,1,1,1,182865.09,1
850,France,Male,63,8,169832.57,1,0,0,184107.26,1
539,Spain,Male,38,6,0.0,1,1,1,152880.07,1
588,Germany,Female,35,1,103060.63,1,1,0,179866.01,1
658,Spain,Female,31,2,36566.96,1,1,0,103644.98,1
719,France,Female,42,4,0.0,1,1,0,28465.86,1
661,Germany,Male,44,1,141136.62,1,1,0,189742.78,1
654,France,Male,40,6,0.0,1,0,0,183872.88,1
640,France,Male,63,2,68432.45,2,1,1,112503.24,1
721,France,Female,55,3,44020.89,1,1,0,65864.4,1
423,France,Female,36,5,97665.61,1,1,0,118372.55,1
716,France,Female,52,7,65971.61,2,1,0,14608.0,1
655,Spain,Male,38,3,250898.09,3,0,1,81054.0,1
601,France,Female,43,2,0.0,1,1,0,49713.87,1
637,Germany,Female,55,1,123378.2,1,1,0,81431.99,1
722,Germany,Female,48,10,138311.76,1,1,1,3472.63,1
404,Germany,Female,54,4,125456.07,1,1,0,83715.66,1
460,France,Female,27,7,0.0,2,1,0,156150.08,1
618,Germany,Female,54,4,118449.21,1,1,1,133573.29,1
704,France,Male,32,7,127785.17,4,0,0,184464.7,1
609,Spain,Female,43,6,86053.52,2,1,1,113276.46,1
736,Germany,Male,57,9,95295.39,1,1,0,28434.44,1
643,France,Female,51,2,105229.53,1,1,0,34967.75,1
674,France,Male,18,7,0.0,2,1,1,55753.12,1
836,Spain,Male,57,4,101247.06,1,1,0,37141.62,1
753,France,Male,57,7,0.0,1,1,0,159475.08,1
745,France,Female,55,9,110123.59,1,0,1,51548.14,1
693,France,Male,36,8,178111.82,1,0,0,58719.63,1
606,Germany,Male,65,10,126306.64,3,0,0,7861.68,1
705,Germany,Female,56,2,143249.67,1,1,0,88428.41,1
634,Germany,Female,46,5,123642.36,1,1,1,49725.16,1
556,Germany,Male,37,9,145018.64,2,1,0,90928.02,1
700,Germany,Female,59,5,137648.41,1,1,0,142977.05,1
525,Spain,Female,47,6,118560.0,1,1,0,82522.61,1
798,Spain,Female,58,9,0.0,2,0,0,119071.56,1
773,Germany,Male,47,2,118079.47,4,1,1,143007.49,1
728,France,Female,46,2,109705.52,1,1,0,20276.87,1
498,Germany,Female,41,4,87541.06,2,1,1,12577.21,1
